   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
    168000   1074.7881     -2316.0412      0             -2177.2528      2875.7249      16097.23     
    170000   1092.3715     -2313.5098      0             -2172.4509      149.09083      16169.974    
    172000   1137.4231     -2310.9349      0             -2164.0584      2437.802       16135.381    
    174000   1064.3088     -2319.8694      0             -2182.4343      723.10009      16116.977    
    176000   1052.4684     -2317.6301      0             -2181.7239      1034.9146      16128.972    
    178000   1107.4715     -2313.4833      0             -2170.4745     -704.32047      16188.674    
    180000   1143.2261     -2314.9414      0             -2167.3156      5071.2595      16066.674    
    182000   1115.5266     -2314.8395      0             -2170.7906     -1342.6236      16201.639    
    184000   1069.5299     -2308.801       0             -2170.6917     -1663.5434      16224.644    
    186000   1071.6097     -2311.3831      0             -2173.0051     -1282.9365      16205.621    
    188000   1113.9225     -2316.1983      0             -2172.3565      1302.8279      16140.299    
    190000   1103.0389     -2309.7978      0             -2167.3614     -177.05993      16198.535    
    192000   1096.9408     -2315.9431      0             -2174.2942     -1913.8082      16198.237    
    194000   1059.8283     -2314.9712      0             -2178.1146     -3068.9684      16214.147    
    196000   1105.6289     -2319.6245      0             -2176.8537      1722.7909      16103.528    
    198000   1131.882      -2312.1728      0             -2166.0119      1988.8166      16143.82     
    200000   1099.3571     -2317.6415      0             -2175.6806      1556.4676      16116.766    
    202000   1068.4053     -2317.4108      0             -2179.4467      1715.1254      16106.587    
    204000   1085.3883     -2312.6624      0             -2172.5053      2869.3117      16112.945    
    206000   1141.1029     -2303.6084      0             -2156.2568     -949.47565      16247.696    
    208000   1081.4276     -2312.0394      0             -2172.3937     -468.5652       16185.459    
    210000   1139.7427     -2323.7608      0             -2176.5848      67.003598      16126.255    
    212000   1068.4249     -2305.7626      0             -2167.796      -2427.7691      16258.921    
    214000   1093.5296     -2315.6115      0             -2174.4031      1306.805       16133.648    
    216000   1105.194      -2309.8471      0             -2167.1324     -927.04179      16209.809    
    218000   1113.04       -2308.73        0             -2165.0021     -145.79674      16205.466    
    220000   1095.9194     -2311.2237      0             -2169.7067     -1385.3928      16212.619    
    222000   1085.4118     -2318.678       0             -2178.5178      3314.339       16079.813    
    224000   1079.2685     -2313.4902      0             -2174.1233      2974.8679      16103.679    
    226000   1074.8244     -2309.8611      0             -2171.0681     -939.97197      16214.166    
    228000   1103.1238     -2312.4025      0             -2169.9552     -1346.0503      16206.381    
    230000   1161.8815     -2310.0688      0             -2160.034      -276.429        16209.209    
    232000   1118.207      -2309.1505      0             -2164.7554     -361.81732      16202.704    
    234000   1119.334      -2310.6086      0             -2166.068      -1588.238       16220.275    
    236000   1112.2342     -2307.1997      0             -2163.5759      1796.2666      16170.302    
    238000   1180.5539     -2307.7874      0             -2155.3415      4098.4959      16129.025    
    240000   1097.5102     -2315.5126      0             -2173.7902     -2846.7034      16216.796    
    242000   1102.3006     -2308.8067      0             -2166.4657     -3561.944       16274.993    
    244000   1110.1561     -2308.6111      0             -2165.2557      323.94581      16192.621    
    246000   1114.4492     -2309.6092      0             -2165.6994      399.07877      16185.593    
    248000   1143.2258     -2311.8849      0             -2164.2591      2700.7591      16134.268    
    250000   1113.0253     -2310.0664      0             -2166.3405     -156.80821      16194.379    
    252000   1206.958      -2303.8643      0             -2148.0087     -4457.9788      16336.613    
    254000   1139.8851     -2311.2919      0             -2164.0975      3650.06        16118.102    
    256000   1146.7916     -2311.4016      0             -2163.3154     -620.85788      16203.914    
    258000   1099.7476     -2304.3758      0             -2162.3644     -2624.0324      16270.87     
    260000   1126.0017     -2314.9798      0             -2169.5782      3969.9197      16087.114    
    262000   1115.0409     -2313.374       0             -2169.3878      3781.001       16095.336    
    264000   1189.7425     -2303.2065      0             -2149.574      -1308.4784      16273.583    
    266000   1181.9072     -2306.5638      0             -2153.943      -2176.2556      16270.93     
    268000   1091.9512     -2312.102       0             -2171.0973      1403.689       16147.215    
    270000   1155.0387     -2306.1654      0             -2157.0142     -3168.3094      16286.133    
    272000   1145.11       -2311.292       0             -2163.423       2465.614       16137.423    
    274000   1163.3589     -2312.3741      0             -2162.1485      179.25507      16184.267    
    276000   1103.2303     -2309.2327      0             -2166.7716      859.83868      16180.366    
    278000   1157.923      -2309.5274      0             -2160.0038      1410.5575      16174.315    
    280000   1149.2465     -2313.2628      0             -2164.8596      329.46858      16180.548    
    282000   1174.3374     -2304.9078      0             -2153.2646     -2011.4063      16266.834    
    284000   1144.2171     -2311.5441      0             -2163.7903      3470.9197      16117.802    
    286000   1174.5551     -2305.8569      0             -2154.1856     -1472.2253      16252.658    
    288000   1154.7674     -2309.6418      0             -2160.5256      3347.8177      16137.661    
    290000   1122.655      -2302.7484      0             -2157.7789     -787.3558       16253.922    
    292000   1137.8838     -2300.5931      0             -2153.6571     -2732.6497      16301.74     
    294000   1122.1338     -2303.5207      0             -2158.6186      2666.1528      16172.681    
    296000   1113.9521     -2302.8454      0             -2158.9998     -891.8672       16253.439    
    298000   1146.306      -2311.8593      0             -2163.8358      2135.0977      16146.741    
    300000   1156.4706     -2298.8215      0             -2149.4854     -4431.9455      16355.009    
    302000   1128.3777     -2306.8968      0             -2161.1884      900.85889      16198.706    
    304000   1168.4656     -2304.2547      0             -2153.3697     -1808.8509      16268.387    
    306000   1147.6061     -2308.1171      0             -2159.9257      3227.7471      16139.074    
    308000   1145.3159     -2303.9825      0             -2156.0868     -2140.7568      16274.359    
    310000   1155.5283     -2300.8247      0             -2151.6103      996.10892      16228.777    
    312000   1131.6804     -2303.452       0             -2157.3171     -3284.7953      16297.169    
    314000   1146.2023     -2307.438       0             -2159.4279      1187.2068      16190.386    
    316000   1184.3757     -2301.642       0             -2148.7025     -3180.2822      16319.098    
    318000   1143.8038     -2299.9689      0             -2152.2685     -1572.0931      16285.314    
    320000   1128.8401     -2312.9643      0             -2167.1961      605.47208      16167.192    
    322000   1137.7768     -2305.1492      0             -2158.2271     -1606.1785      16254.281    
    324000   1194.234      -2300.6829      0             -2146.4704      2064.1213      16211.997    
    326000   1089.5852     -2303.0225      0             -2162.3234     -4341.2979      16313.306    
    328000   1203.8543     -2308.6121      0             -2153.1573      2590.9792      16160.236    
    330000   1189.3328     -2296.0328      0             -2142.4532     -5724.9962      16404.462    
    332000   1152.4983     -2299.6331      0             -2150.81        2667.6484      16197.153    
