LAMMPS data file via write_data, version 4 Jul 2026, timestep = 105000, units = metal

40656 atoms
1 atom types

0 79.53 xlo xhi
0 79.53 ylo yhi
0 112.06500000000001 zlo zhi

Masses

1 63.546

Atoms # atomic

1 1 0 0 0 0 0 0
2 1 1.8075 1.8075 0 0 0 0
3 1 1.8075 0 1.8075 0 0 0
4 1 0 1.8075 1.8075 0 0 0
5 1 3.615 0 0 0 0 0
8 1 3.615 1.8075 1.8075 0 0 0
89 1 0 3.615 0 0 0 0
91 1 1.8075 3.615 1.8075 0 0 0
93 1 3.615 3.615 0 0 0 0
1937 1 0 0 3.615 0 0 0
1938 1 1.8075 1.8075 3.615 0 0 0
1941 1 3.615 0 3.615 0 0 0
2025 1 0 3.615 3.615 0 0 0
2029 1 3.615 3.615 3.615 0 0 0
6 1 5.4225 1.8075 0 0 0 0
7 1 5.4225 0 1.8075 0 0 0
9 1 7.23 0 0 0 0 0
12 1 7.23 1.8075 1.8075 0 0 0
95 1 5.4225 3.615 1.8075 0 0 0
97 1 7.23 3.615 0 0 0 0
1942 1 5.4225 1.8075 3.615 0 0 0
1945 1 7.23 0 3.615 0 0 0
2033 1 7.23 3.615 3.615 0 0 0
10 1 9.037500000000001 1.8075 0 0 0 0
11 1 9.037500000000001 0 1.8075 0 0 0
13 1 10.845 0 0 0 0 0
16 1 10.845 1.8075 1.8075 0 0 0
99 1 9.037500000000001 3.615 1.8075 0 0 0
101 1 10.845 3.615 0 0 0 0
1946 1 9.037500000000001 1.8075 3.615 0 0 0
1949 1 10.845 0 3.615 0 0 0
2037 1 10.845 3.615 3.615 0 0 0
14 1 12.6525 1.8075 0 0 0 0
15 1 12.6525 0 1.8075 0 0 0
17 1 14.46 0 0 0 0 0
20 1 14.46 1.8075 1.8075 0 0 0
103 1 12.6525 3.615 1.8075 0 0 0
105 1 14.46 3.615 0 0 0 0
1950 1 12.6525 1.8075 3.615 0 0 0
1953 1 14.46 0 3.615 0 0 0
2041 1 14.46 3.615 3.615 0 0 0
18 1 16.267500000000002 1.8075 0 0 0 0
19 1 16.267500000000002 0 1.8075 0 0 0
21 1 18.075000000000003 0 0 0 0 0
